Jednostka podzialu administracyjnego;Rok;Przestepstwa stwierdzone;Przestepstwa wykryte;% wykrycia;;;;;;;
woj. łódzkie;2005;88;87;96,7;;;;;;;
woj. łódzkie;2004;98;95;94,1;;;;;;;
woj. łódzkie;2003;98;95;91,3;;;;;;;
woj. łódzkie;2002;123;112;89,6;;;;;;;
woj. łódzkie;2001;119;106;88,3;;;;;;;
woj. łódzkie;2000;108;95;87,2;;;;;;;
woj. łódzkie;1999;64;57;89,1;;;;;;;
woj. małopolskie;2018;29;29;93,5;;;;;;;
woj. małopolskie;2017;23;22;95,7;;;;;;;
woj. małopolskie;2016;17;15;88,2;;;;;;;
woj. małopolskie;2015;40;39;97,5;;;;;;;
woj. małopolskie;2014;42;39;92,9;;;;;;;
woj. małopolskie;2013;38;35;92,1;;;;;;;
woj. małopolskie;2012;49;45;91,8;;;;;;;
woj. małopolskie;2011;40;40;97,6;;;;;;;
woj. małopolskie;2010;42;34;81,0;;;;;;;
woj. małopolskie;2009;53;42;79,2;;;;;;;
woj. małopolskie;2008;49;49;92,5;;;;;;;
woj. małopolskie;2007;47;42;87,5;;;;;;;
woj. małopolskie;2006;46;41;89,1;;;;;;;
woj. małopolskie;2005;44;44;97,8;;;;;;;
woj. małopolskie;2004;64;59;90,8;;;;;;;
woj. małopolskie;2003;46;43;86,0;;;;;;;
woj. małopolskie;2002;71;64;88,9;;;;;;;
woj. małopolskie;2001;83;76;91,6;;;;;;;
woj. małopolskie;2000;59;53;89,8;;;;;;;
woj. małopolskie;1999;45;39;86,7;;;;;;;
woj. mazowieckie;2018;80;78;97,5;;;;;;;
woj. mazowieckie;2017;92;88;95,7;;;;;;;
woj. mazowieckie;2016;68;62;89,9;;;;;;;
woj. mazowieckie;2015;63;54;85,7;;;;;;;
woj. mazowieckie;2014;74;68;91,9;;;;;;;
woj. mazowieckie;2013;70;64;88,9;;;;;;;
woj. mazowieckie;2012;90;81;89,0;;;;;;;
woj. mazowieckie;2011;100;90;89,1;;;;;;;
woj. mazowieckie;2010;106;96;90,6;;;;;;;
woj. mazowieckie;2009;119;110;90,9;;;;;;;
woj. mazowieckie;2008;123;111;88,8;;;;;;;
woj. mazowieckie;2007;155;143;87,7;;;;;;;
woj. mazowieckie;2006;126;106;82,8;;;;;;;
woj. mazowieckie;2005;154;127;80,4;;;;;;;
woj. mazowieckie;2004;147;113;75,8;;;;;;;
woj. mazowieckie;2003;193;152;77,2;;;;;;;
woj. mazowieckie;2002;182;147;79,0;;;;;;;
woj. mazowieckie;2001;233;172;73,5;;;;;;;
woj. mazowieckie;2000;204;166;81,0;;;;;;;
woj. mazowieckie;1999;172;124;72,1;;;;;;;
woj. opolskie;2018;12;10;83,3;;;;;;;
woj. opolskie;2017;9;9;100,0;;;;;;;
woj. opolskie;2016;8;8;100,0;;;;;;;
woj. opolskie;2015;15;13;86,7;;;;;;;
woj. opolskie;2014;9;8;88,9;;;;;;;
woj. opolskie;2013;10;10;100,0;;;;;;;
woj. opolskie;2012;17;16;88,9;;;;;;;
woj. opolskie;2011;10;10;100,0;;;;;;;
woj. opolskie;2010;17;17;100,0;;;;;;;
woj. opolskie;2009;14;13;92,9;;;;;;;
woj. opolskie;2008;14;13;92,9;;;;;;;
woj. opolskie;2007;15;15;100,0;;;;;;;
woj. opolskie;2006;16;16;100,0;;;;;;;
woj. opolskie;2005;13;12;92,3;;;;;;;
woj. opolskie;2004;13;12;85,7;;;;;;;
woj. opolskie;2003;19;18;94,7;;;;;;;
woj. opolskie;2002;19;19;100,0;;;;;;;
woj. opolskie;2001;21;20;95,2;;;;;;;
woj. opolskie;2000;23;24;104,3;;;;;;;
woj. opolskie;1999;23;21;91,3;;;;;;;
woj. podkarpackie;2018;16;16;100,0;;;;;;;
woj. podkarpackie;2017;14;15;88,2;;;;;;;
woj. podkarpackie;2016;15;15;100,0;;;;;;;
woj. podkarpackie;2015;6;6;100,0;;;;;;;
woj. podkarpackie;2014;25;24;96,0;;;;;;;
woj. podkarpackie;2013;28;28;100,0;;;;;;;
woj. podkarpackie;2012;16;15;93,8;;;;;;;
woj. podkarpackie;2011;14;14;87,5;;;;;;;
woj. podkarpackie;2010;14;14;100,0;;;;;;;
woj. podkarpackie;2009;26;19;73,1;;;;;;;
woj. podkarpackie;2008;26;26;100,0;;;;;;;
woj. podkarpackie;2007;12;12;100,0;;;;;;;
woj. podkarpackie;2006;26;25;96,2;;;;;;;
woj. podkarpackie;2005;21;19;90,5;;;;;;;
woj. podkarpackie;2004;19;19;100,0;;;;;;;
woj. podkarpackie;2003;27;24;88,9;;;;;;;
woj. podkarpackie;2002;26;25;96,2;;;;;;;
woj. podkarpackie;2001;38;31;81,6;;;;;;;
woj. podkarpackie;2000;37;32;86,5;;;;;;;
woj. podkarpackie;1999;25;21;84,0;;;;;;;
woj. podlaskie;2018;14;14;100,0;;;;;;;
woj. podlaskie;2017;15;15;100,0;;;;;;;
woj. podlaskie;2016;11;11;100,0;;;;;;;
woj. podlaskie;2015;17;16;94,1;;;;;;;
woj. podlaskie;2014;14;14;100,0;;;;;;;
woj. podlaskie;2013;24;24;100,0;;;;;;;
woj. podlaskie;2012;16;16;100,0;;;;;;;
woj. podlaskie;2011;14;13;92,9;;;;;;;
woj. podlaskie;2010;16;15;93,8;;;;;;;
woj. podlaskie;2009;14;14;93,3;;;;;;;
woj. podlaskie;2008;18;17;94,4;;;;;;;
woj. podlaskie;2007;26;26;100,0;;;;;;;
woj. podlaskie;2006;34;32;91,4;;;;;;;
woj. podlaskie;2005;25;26;96,3;;;;;;;
woj. podlaskie;2004;36;33;86,8;;;;;;;
