Rozmiar kraty,Pomiar,Rodzaj
5,0.923,bez wizualizacji
10,1.312,bez wizualizacji
15,0.794,bez wizualizacji
20,0.818,bez wizualizacji
25,0.745,bez wizualizacji
5,208.29,z wizualizacja
10,214.26,z wizualizacja
15,223.73,z wizualizacja
20,201.86,z wizualizacja
25,177.48,z wizualizacja

